id;actual;declared;union;intersection;undeclared;unused
aabcgdmkeabbnleenpncegpcngjpnjkc.crx;4;5;5;4;0;1
aadgmnobpdmgmigaicncghmmoeflnamj.crx;0;2;2;0;0;2
aaebjepcfidgkojljbgoilgkgklehldj.crx;3;3;3;3;0;0
aailiojlhjbichheofhdpcongebcgcgm.crx;1;12;12;1;0;11
aakchaleigkohafkfjfjbblobjifikek.crx;2;6;6;2;0;4
aapbdbdomjkkjkaonfhkkikfgjllcleb.crx;2;3;3;2;0;1
abjcfabbhafbcdfjoecdgepllmpfceif.crx;1;2;2;1;0;1
abpbcfijgmlbecbplnfknakoemncanbo.crx;0;1;1;0;0;1
acgimceffoceigocablmjdpebeodphgc.crx;0;0;0;0;0;0
adepkmleadimefolboaaedghfnnbfpnp.crx;2;6;6;2;0;4
adicaaffkmhgnfheifkjhopmambgfihl.crx;0;2;2;0;0;2
adllellfifhkdgekblogkphpalcbfooh.crx;0;2;2;0;0;2
admmjipmmciaobhojoghlmleefbicajg.crx;3;11;12;2;1;9
adokjfanaflbkibffcbhihgihpgijcei.crx;6;9;9;6;0;3
aeblfdkhhhdcdjpifhhbdiojplfjncoa.crx;0;13;13;0;0;13
aeeajafchghccbnppaimjhhfpejabole.crx;1;5;5;1;0;4
aefkmifgmaafnojlojpnekbpbmjiiogg.crx;2;4;4;2;0;2
aejoelaoggembcahagimdiliamlcdmfm.crx;2;9;9;2;0;7
agibagflppafhfonkefpklndlohkclcb.crx;0;3;3;0;0;3
agimnfedoejnbcaboobehgdeppecefap.crx;0;3;3;0;0;3
ahmpjcflkgiildlgicmcieglgoilbfdp.crx;0;11;11;0;0;11
aicmkgpgakddgnaphhhpliifpcfhicfo.crx;3;4;4;3;0;1
aiffpfmnpgfjinmgehcanknmnmaheamg.crx;0;0;0;0;0;0
aiimdkdngfcipjohbjenkahhlhccpdbc.crx;2;9;9;2;0;7
aikbehojjdffmangolfbohjdigfdnepa.crx;3;4;4;3;0;1
aioencjhbaolepcoappllicjebblphoc.crx;0;2;2;0;0;2
ajmecfihhnibjmmihpecefjjckgbmedh.crx;3;6;6;3;0;3
ajneioealmmeomlfegpbamcjhiiedcag.crx;1;4;5;0;1;4
ajojghojfapedgfkjmhchgblmjfanggo.crx;1;2;2;1;0;1
ajopnjidmegmdimjlfnijceegpefgped.crx;0;1;1;0;0;1
akaelkiagnbfcccfnmbimdbplecgbikh.crx;0;0;0;0;0;0
akdgnmcogleenhbclghghlkkdndkjdjc.crx;3;5;5;3;0;2
akgpcdalpfphjmfifkmfbpdmgdmeeaeo.crx;2;1;3;0;2;1
akimgimeeoiognljlfchpbkpfbmeapkh.crx;3;4;4;3;0;1
aleakchihdccplidncghkekgioiakgal.crx;1;1;1;1;0;0
aleggpabliehgbeagmfhnodcijcmbonb.crx;3;5;5;3;0;2
alplpnakfeabeiebipdmaenpmbgknjce.crx;3;11;11;3;0;8
amddgdnlkmohapieeekfknakgdnpbleb.crx;0;1;1;0;0;1
amigcgbheognjmfkaieeeadojiibgbdp.crx;1;5;5;1;0;4
amjcoehkcacocffpmhnefgoeanepjfkf.crx;3;8;8;3;0;5
amjmjholfoknokffkiolahocokcaecnc.crx;3;6;6;3;0;3
ancbofgphhmhcchnaognahmjfajaecmo.crx;1;5;5;1;0;4
andokbmfkopokkinpoodkhciomilhece.crx;0;11;11;0;0;11
aoanickgmocpddnppajakfcafbkncdab.crx;2;5;5;2;0;3
aohddidmgooofkgohkbkaohadkolgejj.crx;0;2;2;0;0;2
aoiidodopnnhiflaflbfeblnojefhigh.crx;0;5;5;0;0;5
aomidfkchockcldhbkggjokdkkebmdll.crx;0;4;4;0;0;4
aomjjhallfgjeglblehebfpbcfeobpgk.crx;3;6;6;3;0;3
aopfgjfeiimeioiajeknfidlljpoebgc.crx;0;8;8;0;0;8
apcedakaoficjlofohhcmkkljehnmebp.crx;1;1;1;1;0;0
apfkjncelobloojfkbmendgmfgnfmbla.crx;1;8;8;1;0;7
apghicjnekejhfancbkahkhdckhdagna.crx;1;0;1;0;1;0
baggnalhgbpeanbhedjlbndhjgmimmhl.crx;2;3;3;2;0;1
bahkljhhdeciiaodlkppoonappfnheoi.crx;7;11;13;5;2;6
baohinapilmkigilbbbcccncoljkdpnd.crx;0;4;4;0;0;4
bbcnbpafconjjigibnhbfmmgdbbkcjfi.crx;0;2;2;0;0;2
bbecnnkcccinkpblhmamngbiengkfbbf.crx;0;10;10;0;0;10
bbmegnmpleoagolcnjnejdacakedpcgd.crx;3;11;11;3;0;8
bcjindcccaagfpapjjmafapmmgkkhgoa.crx;0;2;2;0;0;2
bckebbpihkkoonigakijdplcakdgfdfg.crx;2;9;9;2;0;7
bclmkgofhdgekpoamoialodjdloiilod.crx;2;5;5;2;0;3
bdakmnplckeopfghnlpocafcepegjeap.crx;3;7;7;3;0;4
bdlhpbalhdjobabgbacbgclpjjelainj.crx;0;2;2;0;0;2
bdlknlbjcalhjjoolopamghjaehhgmmg.crx;2;5;5;2;0;3
bekpmjjfikbojlfahehhgnaebgjgkmmh.crx;0;0;0;0;0;0
bfbameneiokkgbdmiekhjnmfkcnldhhm.crx;4;8;8;4;0;4
bfbmjmiodbnnpllbbbfblcplfjjepjdn.crx;2;4;4;2;0;2
bfegaehidkkcfaikpaijcdahnpikhobf.crx;0;0;0;0;0;0
bfmdmbkhckncibmbjgmfbeehnnkknnad.crx;0;2;2;0;0;2
bfogiafebfohielmmehodmfbbebbbpei.crx;1;5;5;1;0;4
bgdpkilkheacbboffppjgceiplijhfpd.crx;0;1;1;0;0;1
bgnkhhnnamicmpeenaelnjfhikgbkllg.crx;0;8;8;0;0;8
bhghoamapcdpbohphigoooaddinpkbai.crx;2;3;3;2;0;1
bhlhnicpbhignbdhedgjhgdocnmhomnp.crx;0;2;2;0;0;2
bhloflhklmhfpedakmangadcdofhnnoh.crx;0;0;0;0;0;0
bhmmomiinigofkjcapegjjndpbikblnp.crx;0;6;6;0;0;6
bifidglkmlbfohchohkkpdkjokajibgg.crx;3;7;7;3;0;4
bigefpfhnfcobdlfbedofhhaibnlghod.crx;2;4;5;1;1;3
bihmplhobchoageeokmgbdihknkjbknd.crx;0;12;12;0;0;12
bijihlabcfdnabacffofojgmehjdielb.crx;2;2;2;2;0;0
biokbpahnhnolgnfoblfflgopeepaoik.crx;5;12;12;5;0;7
bjgfdlplhmndoonmofmflcbiohgbkifn.crx;2;4;4;2;0;2
bjjhfmdnoonajbncgfjndbajofekbjki.crx;5;12;13;4;1;8
bkbdaodnaecdijpajecpncpdomgcoakc.crx;0;1;1;0;0;1
bkbeeeffjjeopflfhgeknacdieedcoml.crx;2;3;3;2;0;1
bkdgflcldnnnapblkhphbgpggdiikppg.crx;3;11;11;3;0;8
bkfmjmjngglphchhiemnghidpnddofmo.crx;1;2;2;1;0;1
bkhaagjahfmjljalopjnoealnfndnagc.crx;1;1;1;1;0;0
bkmjlcbkppjpiianckgofgolfojkdeep.crx;4;12;13;3;1;9
bkpenclhmiealbebdopglffmfdiilejc.crx;0;2;2;0;0;2
bkpgjmojkmhihgfnbnfoipcdpopkhipo.crx;5;12;13;4;1;8
bldgenmjegcnjebiongilahhcjldgmlm.crx;1;1;1;1;0;0
blipmdconlkpinefehnmjammfjpmpbjk.crx;0;3;3;0;0;3
blkboeaihdlecgdjjgkcabbacndbjibc.crx;3;5;5;3;0;2
blndkmebkmenignoajhoemebccmmfjib.crx;1;5;5;1;0;4
bmimdmkleccdoghpgdhaahkelfhjfhgm.crx;1;7;7;1;0;6
bmmbajpcfedaechekcachdldkdfaalbf.crx;5;12;13;4;1;8
bmnlcjabgnpnenekpadlanbbkooimhnj.crx;3;5;5;3;0;2
bnjjngeaknajbdcgpfkgnonkmififhfo.crx;2;3;3;2;0;1
bnmgbcehmiinmmlmepibeeflglhbhlea.crx;5;14;14;5;0;9
bnomihfieiccainjcjblhegjgglakjdd.crx;1;1;1;1;0;0
bodncoafpihbhpfljcaofnebjkaiaiga.crx;1;2;2;1;0;1
boelillbfolbijkhknbmfdhehcppmcia.crx;0;0;0;0;0;0
boemmnepglcoinjcdlfcpcbmhiecichi.crx;1;4;4;1;0;3
bofbpdmkbmlancfihdncikcigpokmdda.crx;3;6;6;3;0;3
bohahkiiknkelflnjjlipnaeapefmjbh.crx;0;1;1;0;0;1
bojgejgifofondahckoaahkilneffhmf.crx;1;5;5;1;0;4
bpconcjcammlapcogcnnelfmaeghhagj.crx;5;14;14;5;0;9
bpgpffljkgjmijjdmjbdppndoojdgboe.crx;0;0;0;0;0;0
bpojelgakakmcfmjfilgdlmhefphglae.crx;3;6;6;3;0;3
bppbpeijolfcampacpljolaegibfhjph.crx;0;0;0;0;0;0
cacfnookefkldifaigjdedpophfjkjeh.crx;0;1;1;0;0;1
caclkomlalccbpcdllchkeecicepbmbm.crx;1;1;1;1;0;0
caljgklbbfbcjjanaijlacgncafpegll.crx;1;10;10;1;0;9
cammakhaipbljopbkbbffhachjekcfki.crx;0;3;3;0;0;3
camnampocfohlcgbajligmemmabnljcm.crx;4;6;6;4;0;2
canbadmphamemnmdfngmcabnjmjgaiki.crx;4;4;5;3;1;1
cbhfdchmklhpcngcgjmpdbjakdggkkjp.crx;3;3;3;3;0;0
cchjabbpienhimbelhmapejpadmeoajm.crx;0;4;4;0;0;4
ccjleegmemocfpghkhpjmiccjcacackp.crx;3;9;9;3;0;6
